ID;Title;Barrier Reported?;Barrier Category;Description
49;EvaAI: A Multi-agent Framework Leveraging Large Language Models for Enhanced Automated Grading;Yes;Robustness and reliability;The grader agent hallucinated by assuming there was a typo in the variable used by the student, when the code was correct.
50;EvalSeer: An Intelligent Gamified System for Programming Assignments Assessment;No;Not reported;The article describes how the system works and reports good accuracy results, without explicitly reporting barriers or limitations of AI in its implementation.
51;Evaluating a large language model’s ability to solve programming exercises from an introductory bioinformatics course;Yes;Robustness and reliability;ChatGPT had difficulties following specific instructions, such as searching for the start codon in the correct frame, and showed logic errors in exercises requiring the combination of multiple skills.
52;Evaluating Copilot on CS1 Code Writing Problems with Suppressed Specifications;Yes;Robustness and reliability;Because Codex, the LLM powering Copilot, is nondeterministic, reproducing our results is challenging.
53;Evaluating GPT for use in K-12 Block Based CS Instruction Using a Transpiler and Prompt Engineering;Yes;Data dependency and generalization;Current LLMs struggle to accurately interpret or create programs in these visual environments. The prompt-only approach failed when trying to generate programs involving complex behaviors such as animation.
54;Evaluating LLMs for Automated Scoring in Formative Assessments;Yes;Robustness and reliability;The examined open-source LLM showed larger deviations and failed to meet equivalence thresholds compared with the premium model.
55;Evaluating the Impact of ChatGPT on Exercises of a Software Security Course;Yes;Data dependency and generalization;Detecting complex vulnerabilities across multiple files can be challenging due to its 8k-token limit. This limit restricts the codebase being analyzed.
56;Evaluation of LLM Tools for Feedback Generation in a Course on Concurrent Programming;Yes;Robustness and reliability;Neither of these two tools can accurately evaluate the exercises, resulting in an accuracy rate of 50%, which means both have limitations in finding typical concurrency errors.
57;Exercise Generation and Student Cognitive Ability Research Based on ChatGPT and Rasch Model;Yes;Robustness and reliability;Exercises generated exclusively by ChatGPT may lack credibility and may not align with the specified cognitive levels.
58;Explainable Artificial Intelligence for Workflow Verification in Visual IoT/Robotics Programming Language Environment;Yes;Data dependency and generalization;The main difficulty and novelty of such work would probably result from the special construction of VIPLE. Future work could try to apply these steps to another language.
59;Explaining Code with a Purpose: An Integrated Approach for Developing Code Comprehension and Prompting Skills;Yes;Robustness and reliability;The evaluation is not entirely reliable, since the same prompt may produce correct code on some occasions and incorrect code on others.
60;Exploring the Responses of Large Language Models to Beginner Programmers’ Help Requests;Yes;Robustness and reliability;A significant limitation in the quality of GPT-3.5 responses is that 48% of them reported problems that did not actually exist in the student's code.
61;FastFixer: An Efficient and Effective Approach for Repairing Programming Assignments;Yes;Data dependency and generalization;This assumption, of similarity between the original and corrected code, may not hold in some cases. It may fail to write code in a modular way, which may make the resulting acceleration less substantial.
62;Feedback-Generation for Programming Exercises With GPT-4;Yes;Robustness and reliability;Inconsistent feedback was observed, such as stating that the submission is correct but that an error needs to be fixed.
63;Generating Situated Reflection Triggers About Alternative Solution Paths: A Case Study of Generative AI for Computer-Supported Collaborative Learning;Yes;Adoption and usability constraints;Readability was another concern due to the large size of prompts in the chat window, which made engagement with the messages difficult.
64;Generative AI for Programming Education: Benchmarking ChatGPT, GPT-4, and Human Tutors;Yes;Robustness and reliability;These results also highlight scenarios where GPT-4 still struggles, for example assessment feedback and task synthesis, where GPT-4 performance is quite low.
65;Generative AI in the Software Modeling Classroom: An Experience Report with ChatGPT and UML;Yes;Robustness and reliability;99% of students recognize that ChatGPT does not generate results deterministically. ChatGPT does not appear to understand the problem at hand.
66;GPTutor: A ChatGPT-Powered Programming Tool for Code Explanation;Yes;Robustness and reliability;Existing NLG code explainers are superficial. They may ignore or speculate about the domain logic behind the function and tend to offer excessive, irrelevant, or even fictitious information.
67;Grading Generative AI-based Assignments Using a 3R Framework;Yes;Pedagogical risks and misuse;There are also limitations or disadvantages, such as violation of academic integrity and the provision of mediocre output quality in certain situations.
68;Grading Programming Assignments by Summarization;Yes;Transparency and explainability;Human judgment and experience may continue to be necessary, given the inherent challenges of assessing creativity, critical thinking, and logical structures.
69;Graph Neural Networks for Mapping Variables Between Programs;Yes;Data dependency and generalization;Programs with more variables, for example six or seven variables, are the most difficult for our GNN model to map correctly.
70;How Useful TutorBot+ is for Teaching and Learning in Programming Courses: a Preliminary Study;Yes;Infrastructure constraints;Technology and datasets evolve so rapidly that the results of most benchmark experiments quickly become outdated.
71;Identifying Student Profiles Within Online Judge Systems Using Explainable Artificial Intelligence;Yes;Transparency and explainability;The fact that ML and MIL strategies generally function as black boxes makes their application difficult in this feedback-oriented context.
72;Intelligent Deep-Learning Tutoring System to Assist Instructors in Programming Courses;Yes;Data dependency and generalization;Responses regarding the consistency of the intelligent tutor were not as positive, due to students asking questions that had not yet been implemented in the model.
73;Investigating the Role of ChatGPT in Supporting Text-Based Programming Education for Students and Teachers;Yes;Robustness and reliability;Inconsistency in assessment disqualifies ChatGPT as an autonomous assessment and grading tool. It assigns zero points to a solution in one prompt and full score to the same submission in another.
74;Iris: An AI-Driven Virtual Tutor for Computer Science Education;Yes;Infrastructure constraints;The costs associated with GPT-4-Turbo, which are ten times higher, represent a practical limitation for large-scale educational contexts.
75;JorGPT: Instructor-Aided Grading of Programming Assignments with Large Language Models (LLMs);Yes;Transparency and explainability;Models such as Gemini 2.0 Flash showed a tendency to assign higher or more lenient ratings compared with instructors. This divergence highlights the black-box nature of these models.
76;LLM Generative AI and Students' Exam Code Evaluation: Qualitative and Quantitative Analysis;Yes;Robustness and reliability;Current LLMs are not capable of evaluating code or mathematical expressions with 100% reliability, that is, beyond token pattern recognition and subsequent probabilistic response generation.
77;Machine Learning based Code Assessment Systems;Yes;Transparency and explainability;RF, Random Forest, significantly increases the efficiency of the final model at the cost of a small increase in bias and a lack of interpretability.
78;Monitoring and Facilitating Students Programming Skill Development using Robotic Process Automation (RPA) and Artificial Intelligence (AI) – A Case Study;Yes;Robustness and reliability;The system still needs to be improved to provide cumulative AI-based analyses of students' strengths and weaknesses.
79;Monitoring Programming Styles in Massive Open Online Courses Using Source Embedding;Yes;Data dependency and generalization;The clustering algorithms could not distinguish error/score levels, due to group overlap. The machine is not able to cluster scores in a way similar to experts.
80;Next-Step Hint Generation for Introductory Programming Using Large Language Models;Yes;Robustness and reliability;Hints may contain misleading information and lack sufficient detail when students are near the end of the task.
81;On the Applicability of Language Models to Block-Based Programs;Yes;Data dependency and generalization;Block-based programs differ fundamentally from text-based programs in a way that negatively affects their predictability.
82;Online Tutoring and Plagiarism-Aware Authentic Assessment of Database Design Assignments;Yes;Robustness and reliability;Although ChatGPT is often able to answer correctly, it is also known to make serious mistakes.
83;OPTES: A Tool for Behavior-based Student Programming Progress Estimation;Yes;Robustness and reliability;The accuracy of emotion estimation is not sufficiently high. Teachers want to see dynamic changes in students' progress data in figures.
84;Predicting Student Failure using Peer-based Evaluation and Ratings;Yes;Robustness and reliability;Future work could focus on analyzing potential biases, which involves implementing fairness-aware machine learning techniques.
85;Prompt Problems: A New Programming Exercise for the Generative AI Era;Yes;Pedagogical risks and misuse;A prompt may include irrelevant words and generate irrelevant code constructs, and as long as it translates inputs into expected outputs, our tool will treat the task as successfully completed.
86;Prompting for Comprehension: Exploring the Intersection of Explain in Plain English Questions and Prompt Writing;Yes;Robustness and reliability;The evaluation is not entirely reliable, since the same prompt may produce correct code on some occasions and incorrect code on others.
87;PyDex: Repairing Bugs in Introductory Python Assignments using LLMs;Yes;Robustness and reliability;PyDex is based on an LLM, so it inherits its limitations. It does not provide a guarantee of soundness or completeness, and randomness is another limitation.
88;Recommendations to Create Programming Exercises to Overcome ChatGPT;Yes;Pedagogical risks and misuse;Without any change in usage, ChatGPT facilitated a 91% reduction in the time spent solving 22 tasks. This finding represents a significant pedagogical challenge.
89;Research on Defect Location Method of C Language Code Based on Deep Learning;Yes;Data dependency and generalization;Since this method can find a nearly similar code structure, it only modifies the content of the statement without considering defects in the code structure.
90;Revolutionizing eLearning Assessments: The Role of GPT in Crafting Dynamic Content and Feedback;Yes;Robustness and reliability;Specific challenges related to LLM integration were found, such as managing complex queries and ensuring the generation of relevant content.
91;Rubric Is All You Need: Improving LLM-Based Code Evaluation With Question-Specific Rubrics;Yes;Data dependency and generalization;Our analysis is limited to Java programming questions and does not test other widely used languages. We focused on intermediate courses that use single-file assignments.
92;SCG_FBS: A Code Grading Model for Students' Program in Programming Education;Yes;Data dependency and generalization;The IR, intermediate representation, of the code is always longer than the source code, which creates problems in feature extraction and model training. All of our models need to be retrained for new problems.
93;Speeding Up Automated Assessment of Programming Exercises;Yes;Transparency and explainability;We acknowledge that binary correctness feedback is far from ideal. For example, there is no clear feedback on what to improve.
94;Student Mastery or AI Deception? Analyzing ChatGPT's Assessment Proficiency and Evaluating Detection Strategies;Yes;Robustness and reliability;Detection of AI-generated solutions is still not sufficiently reliable across different scenarios.
95;Student Outcome Assessment on Structured Query Language using Rubrics and Automated Feedback Generation;Yes;Robustness and reliability;MNB is a simple and fast algorithm, but it has certain assumptions, such as feature independence. More advanced techniques may be needed for complex scenarios.
96;Student's Academic Performance Prediction in The Programming Techniques Course By Using Machine Learning Methods;Yes;Infrastructure constraints;The application of these methods in online learning platforms still faces many challenges, including uncertainty in data collection and the ability to integrate prediction systems into the teaching process.
97;SynShine: Improved Fixing of Syntax Errors;Yes;Adoption and usability constraints;Diagnostic syntax error messages from compilers and IDEs are sometimes useful, but often the messages are cryptic and puzzling.
98;System for Detecting Learner Stuck in Programming Learning;Yes;Data dependency and generalization;Blocking points may be completely different for other school levels. The proposed detection method and application may not be applicable to students at other learning levels.
99;The AI Companion in Education: Analyzing the Pedagogical Potential of ChatGPT in Computer Science and Engineering;Yes;Robustness and reliability;Our experiments demonstrated ChatGPT's inherent lack of reliability, manifested in errors, incomplete or inconsistent reasoning, and misleading content.
100;Tinkering Behavior Detector Using Multiple Linear Regression: Development of Intelligent Tutoring System for Novice C Programmers;Yes;Robustness and reliability;A significant regression equation revealed the finding, F(2,1010)=4.852, p<0.005, with an R2 of 0.0095. Note: this indicates extremely low explained variance, suggesting model fragility.
101;Toward semi-automatic misconception discovery using code embeddings;Yes;Transparency and explainability;Our method produces some groups that do not have a clear interpretation, and the discovered groups are not exhaustive.
102;Towards Deep Learning Models for Automatic Computer Program Grading;Yes;Data dependency and generalization;Fine-tuning existing models requires a large number of labeled samples, that is, programs and their grades, which are not usually available.
103;Traditional and AI Tools for Teaching Concurrency;Yes;Robustness and reliability;A fundamental problem in these uses is the lack of reliability of AI tools, as well as the fact that there is currently a monetary cost associated with using ChatGPT.
104;Unveiling Hidden Patterns: Clustering Algorithms on C Code embedding;Yes;Data dependency and generalization;Machine learning models can at most capture groupings at the question level, but they cannot understand the underlying logic and classify error types.
105;Using GenAI to Assess Design Patterns in Student-Written Code;Yes;Data dependency and generalization;Validated only in controlled environments with predefined code. It has not yet been tested in real-world classrooms or large-scale industrial codebases.
106;Using Machine Learning to Identify Patterns in Learner-Submitted Code for the Purpose of Assessment;Yes;Data dependency and generalization;It was found that the models do not generalize outside groups of code instances that perform very similar tasks.
