ID;Title;Assessment Target;Oracle;Evidence Strength;Assessment-Focused?
77;Machine Learning based Code Assessment Systems;Numeric scoring;Baseline autograder;Moderate;Yes
78;Monitoring and Facilitating Students Programming Skill Development using Robotic Process Automation (RPA) and Artificial Intelligence (AI) – A Case Study;Not applicable;None reported;None;No
79;Monitoring Programming Styles in Massive Open Online Courses Using Source Embedding;Code-quality evaluation;Human graders;Strong;Yes
80;Next-Step Hint Generation for Introductory Programming Using Large Language Models;Other (acionabilidade);Mixed oracles;Strong;Yes
81;"On the Applicability of Language Models
to Block-Based Programs";Binary correctness;Mixed oracles;Strong;Yes
82;Online Tutoring and Plagiarism-Aware Authentic Assessment of Database Design Assignments;Binary correctness;Gold/labeled datasets;Weak;Yes
83;OPTES: A Tool for Behavior-based Student Programming Progress Estimation;Other (estimativa de estados emocionais);Gold/labeled datasets;Strong;Yes
84;Predicting Student Failure using Peer-based Evaluation and Ratings;Binary correctness;Gold/labeled datasets;Strong;Yes
85;Prompt Problems: A New Programming Exercise for the Generative AI Era;Binary correctness;Unit tests / online judges;Strong;Yes
86;Prompting for Comprehension: Exploring the Intersection of Explain in Plain English Questions and Prompt Writing;Binary correctness;Unit tests / online judges;Strong;Yes
87;PyDex: Repairing Bugs in Introductory Python Assignments using LLMs;Error detection;Mixed oracles;Strong;Yes
88;Recommendations to Create Programming Exercises to Overcome ChatGPT;Binary correctness;Unit tests / online judges;Strong;Yes
89;Research on Defect Location Method of C Language Code Based on Deep Learning;Error detection;Gold/labeled datasets;Strong;Yes
90;Revolutionizing eLearning Assessments: The Role of GPT in Crafting Dynamic Content and Feedback;Error detection;Gold/labeled datasets;Strong;Yes
91;Rubric Is All You Need: Improving LLM-Based Code Evaluation With Question-Specific Rubrics;Numeric scoring;Human graders;Strong;Yes
92;SCG_FBS: A Code Grading Model for Students' Program in Programming Education;Binary correctness;Mixed oracles;Strong;Yes
93;Speeding Up Automated Assessment of Programming Exercises;Binary correctness;Unit tests / online judges;Strong;Yes
94;Student Mastery or AI Deception? Analyzing ChatGPT's Assessment Proficiency and Evaluating Detection Strategies;Binary correctness;Human graders;Strong;Yes
95;Student Outcome Assessment on Structured Query Language using Rubrics and Automated Feedback Generation;Numeric scoring;Gold/labeled datasets;Strong;Yes
96;Student's Academic Performance Prediction in The Programming Techniques Course By Using Machine Learning Methods;Numeric scoring;Gold/labeled datasets;Strong;Yes
97;SynShine: Improved Fixing of Syntax Errors;Error detection;Gold/labeled datasets;Strong;Yes
98;System for Detecting Learner Stuck in Programming Learning;Binary correctness;Gold/labeled datasets;Strong;Yes
99;The AI Companion in Education: Analyzing the Pedagogical Potential of ChatGPT in Computer Science and Engineering;Rubric-based rating;Baseline autograder;Strong;Yes
100;Tinkering Behavior Detector Using Multiple Linear Regression: Development of Intelligent Tutoring System for Novice C Programmers;Binary correctness;Gold/labeled datasets;Strong;Yes
101;Toward semi-automatic misconception discovery using code embeddings;Rubric-based rating;Gold/labeled datasets;Strong;Yes
102;Towards Deep Learning Models for Automatic Computer Program Grading;Numeric scoring;Mixed oracles;Strong;Yes
103;Traditional and AI Tools for Teaching Concurrency;Error detection;Gold/labeled datasets;Moderate;Yes
104;Unveiling Hidden Patterns: Clustering Algorithms on C Code embedding;Code-quality evaluation;Human graders;Strong;Yes
105;Using GenAI to Assess Design Patterns in Student-Written Code;Other (detecção de padrões de projeto).);Human graders;Strong;Yes
106;Using Machine Learning to Identify Patterns in Learner-Submitted Code for the Purpose of Assessment;Numeric scoring;Human graders;Strong;Yes
