study_id;title;year;reported_tool_or_model;extracted_technique_family;primary_family;technique_notes
19;Applying Large Language Models to Enhance the Assessment of Parallel Functional Programming Assignments;2024;ChatGPT-4;LLM-based approaches;LLM-based approaches;Reported tools/models or techniques: ChatGPT-4
20;Artificial Intelligence in the Assessment Process of MOOCs using a cloud-computing ecosystem;2021;Reported but not specifically named;"Neural networks reported generically (ANN); Other or unclear technique description";Hybrid or multiple techniques;"Technique described as: Neural networks reported generically (ANN); Other or unclear technique description"
21;Automated Assessment of Student Self-explanation During Source Code Comprehension;2022;"Sentence BERT; Random Forest; Decision Tree";"Classical machine learning; Other or unclear technique description";Hybrid or multiple techniques;"Reported tools/models or techniques: Sentence BERT; Random Forest; Decision Tree"
22;Automated Assessment of Student Self-Explanation in Code Comprehension Using Pre-Trained Language Models;2025;"BERT; RoBERTa; DistilBERT; CodeBERT";"Deep learning models; NLP-for-code / transformer models";Hybrid or multiple techniques;"Reported tools/models or techniques: BERT; RoBERTa; DistilBERT; CodeBERT; ChatGPT"
23;Automated Grading Method of Python Code Submissions Using Large Language Models and Machine Learning;2025;"GPT-4-Turbo; gpt-4; PyCaret; Random Forest";"Hybrid pipeline; LLM-based approach; classical machine learning";Hybrid or multiple techniques;"Reported tools/models or techniques: GPT-4-Turbo; gpt-4; PyCaret; Random Forest"
24;Automated Grading Through Contrastive Learning: A Gradient Analysis and Feature Ablation Approach;2025;Não (modelo treinado pelos autores). Bibliotecas/ferramentas: PyTorch, Optuna (otimização), Captum (integrated gradients), UMAP (visualização).;"Deep learning models (DL); Natural language processing (NLP) (tokenização); contrastive learning; redes neurais recorrentes (LSTM); XAI (explainable AI).";Hybrid or multiple techniques;Reported tools/models or techniques: LSTM
25;Automatic Creativity Measurement in Scratch Programs Across Modalities;2021;XGBoost;Neural networks reported generically (ANN);Neural networks reported generically;"Reported tools/models or techniques: XGBoost; CNN; ResNet50"
26;Automatic Grading of Short Answers Using Large Language Models in Software Engineering Courses;2024;"GPT-3.5-Turbo; GPT-4";LLM-based approaches;LLM-based approaches;"Reported tools/models or techniques: GPT-3.5-Turbo; GPT-4; BERT"
27;Automating Human Tutor-Style Programming Feedback: Leveraging GPT-4 Tutor Model for Hint Generation and GPT-3.5 Student Model for Hint Validation;2024;"GPT-4; GPT-3.5; Codex";LLM-based approaches;LLM-based approaches;"Reported tools/models or techniques: GPT-4; GPT-3.5; Codex; BERT"
28;BeGrading: large language models for enhanced feedback in programming education;2025;"GPT-4o; Gemini; Codestral; ChatQA-1.5";LLM-based approaches;LLM-based approaches;"Reported tools/models or techniques: GPT-4o; Gemini; Codestral; ChatQA-1.5"
29;Beyond Generating Code: Evaluating GPT on a Data Visualization Course;2023;"GPT-3.5; GPT-4";LLM-based approaches;LLM-based approaches;"Reported tools/models or techniques: GPT-3.5; GPT-4; BERT"
30;Can Language Models Employ the Socratic Method? Experiments with Code Debugging;2024;"GPT-3.5; GPT-4; FLAN-T5";LLM-based approaches;LLM-based approaches;"Reported tools/models or techniques: GPT-3.5; GPT-4; FLAN-T5; BERT"
31;Can Small Language Models With Retrieval-Augmented Generation Replace Large Language Models When Learning Computer Science?;2024;"GPT-3.5; GPT-4; Mistral-7B";"LLM-based approaches-based approaches; Deep learning models";Hybrid or multiple techniques;"Reported tools/models or techniques: GPT-3.5; GPT-4; Mistral-7B; BERT"
32;ChatGPT and Software Testing Education: Promises & Perils;2023;ChatGPT;LLM-based approaches;LLM-based approaches;"Reported tools/models or techniques: ChatGPT; BERT"
33;ChatGPT in the Classroom: An Analysis of Its Strengths and Weaknesses for Solving Undergraduate Computer Science Questions;2024;ChatGPT;LLM-based approaches;LLM-based approaches;"Reported tools/models or techniques: ChatGPT; BERT"
34;ChatGPT, Can You Generate Solutions for my Coding Exercises? An Evaluation on its Effectiveness in an undergraduate Java Programming Course.;2023;ChatGPT;LLM-based approaches;LLM-based approaches;"Reported tools/models or techniques: ChatGPT; BERT"
35;CodeLens: A Generative AI Framework for Automated Feedback on SQL Assignments;2025;"gpt-3.5-turbo-0125; gpt-4o-mini";LLM-based approaches;LLM-based approaches;"Reported tools/models or techniques: gpt-3.5-turbo-0125; gpt-4o-mini"
36;CodeTailor: LLM-Powered Personalized Parsons Puzzles for Engaging Support While Learning Programming;2024;GPT-4;LLM-based approaches;LLM-based approaches;"Reported tools/models or techniques: GPT-4; BERT"
37;Cognitive Complexity and Graph Convolutional Approach Over Control Flow Graph for Software Defect Prediction;2022;"TensorFlow; Keras; WEKA";Deep learning models;Deep learning / NLP-for-code;"Reported tools/models or techniques: TensorFlow; Keras; WEKA; GCN; DNN"
38;Collaborative recommendations in online judges using autoencoder neural networks;2021;"TensorFlow; Keras";Neural networks reported generically (ANN);Neural networks reported generically;"Reported tools/models or techniques: TensorFlow; Keras; Autoencoder"
39;Combating ChatGPT-Based Programming Test Cheating — An Evaluation Using Public Problems;2024;ChatGPT;LLM-based approaches;LLM-based approaches;"Reported tools/models or techniques: ChatGPT; BERT"
40;Comparative Studies: Leveraging Large Language Model In Theoritical and Practical Assessment Sample Question-Answer Bank on Programming Related Subjects;2024;"LLaMA2; Mixtral";"LLM-based approaches-based approaches; Deep learning models";Hybrid or multiple techniques;"Reported tools/models or techniques: LLaMA2; Mixtral; BERT"
41;Comparing computational algorithms for team formation in the classroom: a classroom experience;2023;Not applicable;Not applicable;Not specified / not applicable;Not applicable
42;Creating a Trajectory for Code Writing: Algorithmic Reasoning Tasks;2024;"Random Forest; Logistic Regression";Classical machine learning;Classical machine learning;"Reported tools/models or techniques: Random Forest; Logistic Regression"
43;CS1-LLM: Integrating LLMs into CS1 Instruction;2024;ChatGPT;LLM-based approaches;LLM-based approaches;"Reported tools/models or techniques: ChatGPT; BERT"
44;Data Leakage in Notebooks: Static Detection and Better Processes;2022;Datalog, Pyright;Not applicable;Not specified / not applicable;Not applicable
45;DEMAx Tool Based on an Improved Model for Semiautomatic C/C++ Source Code Assessment;2021;WEKA;"Classical machine learning; unsupervised learning";Hybrid or multiple techniques;"Reported tools/models or techniques: WEKA; K-means"
46;Desirable Characteristics for AI Teaching Assistants in Programming Education;2024;"GPT-3; BERT; RoBERTa";LLM-based approaches;LLM-based approaches;"Reported tools/models or techniques: GPT-3; BERT; RoBERTa"
47;Enhancing Programming Education with Open-Source Generative AI Chatbots;2024;"GPT-3; BERT";"Deep learning models; Neural networks reported generically (ANN); LLM-based approaches";Hybrid or multiple techniques;"Reported tools/models or techniques: GPT-3; BERT"
48;Enhancing Programming Error Messages in Real Time with Generative AI;2024;GPT-4;LLM-based approaches;LLM-based approaches;"Reported tools/models or techniques: GPT-4; BERT"
49;EvaAI: A Multi-agent Framework Leveraging Large Language Models for Enhanced Automated Grading;2024;GPT-4;LLM-based approaches;LLM-based approaches;"Reported tools/models or techniques: GPT-4; BERT"
50;EvalSeer: An Intelligent Gamified System for Programming Assignments Assessment;2021;LSTM;"Deep learning models; Natural language processing (Natural language processing (NLP)); Neural networks reported generically (ANN)";Hybrid or multiple techniques;Reported tools/models or techniques: LSTM
51;Evaluating a large language model’s ability to solve programming exercises from an introductory bioinformatics course;2023;GPT 3.5;LLM-based approaches;LLM-based approaches;Reported tools/models or techniques: BERT
52;Evaluating Copilot on CS1 Code Writing Problems with Suppressed Specifications;2023;GitHub Copilot;LLM-based approaches;LLM-based approaches;Reported tools/models or techniques: BERT
53;Evaluating GPT for use in K-12 Block Based CS Instruction Using a Transpiler and Prompt Engineering;2025;GPT4;LLM-based approaches;LLM-based approaches;Technique described as: LLM-based approaches
54;Evaluating LLMs for Automated Scoring in Formative Assessments;2025;"GPT-4o; LLaMA";LLM-based approaches;LLM-based approaches;"Reported tools/models or techniques: GPT-4o; LLaMA"
55;Evaluating the Impact of ChatGPT on Exercises of a Software Security Course;2023;ChatGPT;LLM-based approaches;LLM-based approaches;"Reported tools/models or techniques: ChatGPT; BERT"
56;Evaluation of LLM Tools for Feedback Generation in a Course on Concurrent Programming;2025;"ChatGPT; GPT-3.5-turbo-16k";LLM-based approaches;LLM-based approaches;"Reported tools/models or techniques: ChatGPT; GPT-3.5-turbo-16k"
57;Exercise Generation and Student Cognitive Ability Research Based on ChatGPT and Rasch Model;2023;ChatGPT;LLM-based approaches;LLM-based approaches;"Reported tools/models or techniques: ChatGPT; BERT"
58;Explainable Artificial Intelligence for Workflow Verification in Visual IoT/Robotics Programming Language Environment;2021;Not reported;Not specified;Not specified / not applicable;Not specified
59;Explaining Code with a Purpose: An Integrated Approach for Developing Code Comprehension and Prompting Skills;2024;Reported but not specifically named;LLM-based approaches;LLM-based approaches;Reported tools/models or techniques: BERT
60;Exploring the Responses of Large Language Models to Beginner Programmers’ Help Requests;2023;"OpenAI Codex; GPT-3.5; gpt-3.5-turbo6";LLM-based approaches;LLM-based approaches;"Reported tools/models or techniques: OpenAI Codex; GPT-3.5; gpt-3.5-turbo6; BERT"
61;FastFixer: An Efficient and Effective Approach for Repairing Programming Assignments;2024;CodeLlama-7B;"LLM-based approach; deep learning";Hybrid or multiple techniques;Reported tools/models or techniques: CodeLlama-7B
62;Feedback-Generation for Programming Exercises With GPT-4;2024;"GPT-4; gpt-4-1106-preview";LLM-based approaches;LLM-based approaches;"Reported tools/models or techniques: GPT-4; gpt-4-1106-preview; BERT"
63;Generating Situated Reflection Triggers About Alternative Solution Paths: A Case Study of Generative AI for Computer-Supported Collaborative Learning;2024;"ChatGPT; gpt-3.5-turbo-instruct";LLM-based approaches;LLM-based approaches;"Reported tools/models or techniques: ChatGPT; gpt-3.5-turbo-instruct; BERT"
64;Generative AI for Programming Education: Benchmarking ChatGPT, GPT-4, and Human Tutors;2023;"ChatGPT; GPT-3.5; GPT-4";LLM-based approaches;LLM-based approaches;"Reported tools/models or techniques: ChatGPT; GPT-3.5; GPT-4; BERT"
65;Generative AI in the Software Modeling Classroom: An Experience Report with ChatGPT and UML;2024;ChatGPT;LLM-based approaches;LLM-based approaches;"Reported tools/models or techniques: ChatGPT; BERT"
66;GPTutor: A ChatGPT-Powered Programming Tool for Code Explanation;2023;ChatGPT;"LLM-based approaches-based approaches; Deep learning models";Hybrid or multiple techniques;"Reported tools/models or techniques: ChatGPT; BERT"
67;Grading Generative AI-based Assignments Using a 3R Framework;2023;Not reported;Not specified;Not specified / not applicable;Not specified
68;Grading Programming Assignments by Summarization;2024;"CodeBERT; MiniLM-L6";LLM-based approaches;LLM-based approaches;"Reported tools/models or techniques: CodeBERT; MiniLM-L6; BERT"
69;Graph Neural Networks for Mapping Variables Between Programs;2023;Not reported;Neural networks reported generically (ANN);Neural networks reported generically;"Reported tools/models or techniques: GNN; RGCN"
70;How Useful TutorBot+ is for Teaching and Learning in Programming Courses: a Preliminary Study;2023;chatGPT3.5;LLM-based approaches;LLM-based approaches;"Reported tools/models or techniques: chatGPT3.5; BERT"
71;Identifying Student Profiles Within Online Judge Systems Using Explainable Artificial Intelligence;2023;XOJ;"Classical machine learning; Other or unclear technique description";Hybrid or multiple techniques;"Reported tools/models or techniques: XOJ; Random Forest; Decision Tree; SVM; Logistic Regression; Naive Bayes"
72;Intelligent Deep-Learning Tutoring System to Assist Instructors in Programming Courses;2024;BERT;Deep learning models;Deep learning / NLP-for-code;Reported tools/models or techniques: BERT
73;Investigating the Role of ChatGPT in Supporting Text-Based Programming Education for Students and Teachers;2023;ChatGPT;LLM-based approaches;LLM-based approaches;"Reported tools/models or techniques: ChatGPT; BERT"
74;Iris: An AI-Driven Virtual Tutor for Computer Science Education;2024;"GPT-3.5-Turbo; Guidance";LLM-based approaches;LLM-based approaches;"Reported tools/models or techniques: GPT-3.5-Turbo; Guidance; BERT"
75;JorGPT: Instructor-Aided Grading of Programming Assignments with Large Language Models (LLMs);2025;"GPT-4o; GPT-4.1; Gemini 2.0 Flash; DeepSeek";LLM-based approaches;LLM-based approaches;"Reported tools/models or techniques: GPT-4o; GPT-4.1; Gemini 2.0 Flash; DeepSeek"
76;LLM Generative AI and Students' Exam Code Evaluation: Qualitative and Quantitative Analysis;2024;Gemini;LLM-based approaches;LLM-based approaches;"Reported tools/models or techniques: Gemini Large; BERT"
77;Machine Learning based Code Assessment Systems;2022;Not reported;Classical machine learning;Classical machine learning;Reported tools/models or techniques: Random Forest
78;Monitoring and Facilitating Students Programming Skill Development using Robotic Process Automation (RPA) and Artificial Intelligence (AI) – A Case Study;2022;"Automation Anywhere; Microsoft Power Automate; Blue Prism";Not specified;Not specified / not applicable;"Reported tools/models or techniques: Automation Anywhere; Microsoft Power Automate; Blue Prism"
79;Monitoring Programming Styles in Massive Open Online Courses Using Source Embedding;2022;"Doc2Vec; SVM";Deep learning models;Deep learning / NLP-for-code;"Reported tools/models or techniques: Doc2Vec; SVM"
80;Next-Step Hint Generation for Introductory Programming Using Large Language Models;2024;"GPT-3; GPT-3.5";LLM-based approaches;LLM-based approaches;"Reported tools/models or techniques: GPT-3; GPT-3.5; BERT"
81;"On the Applicability of Language Models
to Block-Based Programs";2023;Codex;LLM-based approaches;LLM-based approaches;"Reported tools/models or techniques: Codex; BERT"
82;Online Tutoring and Plagiarism-Aware Authentic Assessment of Database Design Assignments;2023;"Turnitin; JPlag";Not applicable;Not specified / not applicable;"Reported tools/models or techniques: Turnitin; JPlag"
83;OPTES: A Tool for Behavior-based Student Programming Progress Estimation;2023;Not reported;Not specified;Not specified / not applicable;Not specified
84;Predicting Student Failure using Peer-based Evaluation and Ratings;2023;Not reported;"Classical machine learning; Heuristic or search algorithms";Hybrid or multiple techniques;"Reported tools/models or techniques: Random Forest; SVM; Naive Bayes; KNN; Decision Tree"
85;Prompt Problems: A New Programming Exercise for the Generative AI Era;2024;ChatGPT;LLM-based approaches;LLM-based approaches;"Reported tools/models or techniques: ChatGPT; BERT"
86;Prompting for Comprehension: Exploring the Intersection of Explain in Plain English Questions and Prompt Writing;2024;"PrairieLearn; ChatGPT";LLM-based approaches;LLM-based approaches;"Reported tools/models or techniques: PrairieLearn; ChatGPT; BERT"
87;PyDex: Repairing Bugs in Introductory Python Assignments using LLMs;2024;Codex;LLM-based approaches;LLM-based approaches;"Reported tools/models or techniques: Codex; BERT"
88;Recommendations to Create Programming Exercises to Overcome ChatGPT;2023;ChatGPT;LLM-based approaches;LLM-based approaches;"Reported tools/models or techniques: ChatGPT; BERT"
89;Research on Defect Location Method of C Language Code Based on Deep Learning;2021;RNN;Deep learning models;Deep learning / NLP-for-code;Reported tools/models or techniques: RNN
90;Revolutionizing eLearning Assessments: The Role of GPT in Crafting Dynamic Content and Feedback;2024;GPT-4;LLM-based approaches;LLM-based approaches;"Reported tools/models or techniques: GPT-4; BERT"
91;Rubric Is All You Need: Improving LLM-Based Code Evaluation With Question-Specific Rubrics;2025;"GPT-4o; GPT-4o-mini; Claude 3.7 Sonnet";LLM-based approaches;LLM-based approaches;"Reported tools/models or techniques: GPT-4o; GPT-4o-mini; Claude 3.7 Sonnet"
92;SCG_FBS: A Code Grading Model for Students' Program in Programming Education;2021;NCC;"Classical machine learning; Deep learning models; Neural networks reported generically (ANN)";Hybrid or multiple techniques;Reported tools/models or techniques: NCC
93;Speeding Up Automated Assessment of Programming Exercises;2022;Not reported;"Classical machine learning; Natural language processing (Natural language processing (NLP))";Hybrid or multiple techniques;Reported tools/models or techniques: Logistic Regression
94;Student Mastery or AI Deception? Analyzing ChatGPT's Assessment Proficiency and Evaluating Detection Strategies;2023;"ChatGPT; JPlag";"LLM-based approaches-based approaches; Natural language processing (Natural language processing (NLP)); Classical machine learning";Hybrid or multiple techniques;"Reported tools/models or techniques: ChatGPT; JPlag; BERT"
95;Student Outcome Assessment on Structured Query Language using Rubrics and Automated Feedback Generation;2024;Not reported;Classical machine learning;Classical machine learning;"Reported tools/models or techniques: KNN; Naive Bayes; Logistic Regression"
96;Student's Academic Performance Prediction in The Programming Techniques Course By Using Machine Learning Methods;2024;"Random Forest; Logistic Regression; Naive Bayes; KNN";Classical machine learning;Classical machine learning;"Reported tools/models or techniques: Random Forest; Logistic Regression; Naive Bayes; KNN"
97;SynShine: Improved Fixing of Syntax Errors;2023;Not reported;"Deep learning models; Other or unclear technique description; LLM-based approaches";Hybrid or multiple techniques;"Reported tools/models or techniques: DNN; RoBERTa"
98;System for Detecting Learner Stuck in Programming Learning;2023;Not reported;Classical machine learning;Classical machine learning;Reported tools/models or techniques: Random Forest
99;The AI Companion in Education: Analyzing the Pedagogical Potential of ChatGPT in Computer Science and Engineering;2024;GPT-3.5;LLM-based approaches;LLM-based approaches;"Reported tools/models or techniques: GPT-3.5; BERT"
100;Tinkering Behavior Detector Using Multiple Linear Regression: Development of Intelligent Tutoring System for Novice C Programmers;2023;Not reported;Other or unclear technique description;Other / custom / unclear;Technique described as: Other or unclear technique description
101;Toward semi-automatic misconception discovery using code embeddings;2021;Not reported;Deep learning models;Deep learning / NLP-for-code;Reported tools/models or techniques: code2vec
102;Towards Deep Learning Models for Automatic Computer Program Grading;2023;"CodeBERT; UniXcoder";"Deep learning models; LLM-based approaches-based approaches; Classical machine learning; Natural language processing (Natural language processing (NLP)); Neural networks reported generically (ANN)";Hybrid or multiple techniques;"Reported tools/models or techniques: CodeBERT; UniXcoder; BERT"
103;Traditional and AI Tools for Teaching Concurrency;2023;ChatGPT;LLM-based approaches;LLM-based approaches;"Reported tools/models or techniques: ChatGPT; BERT"
104;Unveiling Hidden Patterns: Clustering Algorithms on C Code embedding;2024;Not reported;Classical machine learning;Classical machine learning;"Reported tools/models or techniques: CodeBERT; unixcoder; K-means"
105;Using GenAI to Assess Design Patterns in Student-Written Code;2025;"ChatGPT; Claude e; LLaMA";LLM-based approaches;LLM-based approaches;"Reported tools/models or techniques: ChatGPT; Claude e; LLaMA"
106;Using Machine Learning to Identify Patterns in Learner-Submitted Code for the Purpose of Assessment;2023;OS autores usaram algoritmos e técnicas de IA, porém nenhuma ferramenta específica;"Classical machine learning; Neural networks reported generically (ANN)";Hybrid or multiple techniques;"Reported tools/models or techniques: Random Forest; CNN; Decision Tree; RNN; LSTM"
