ID;Title;Reports Ethics?;Topics Covered;Reporting Depth;Evidence Excerpt
97;Automated Grading Through Contrastive Learning: A Gradient Analysis and Feature Ablation Approach;Yes;"Privacy and data protection; Transparency and accountability";Procedural;The anonymized dataset used in this study was collected from the exam terms... This study addresses the limitations of these methods by integrating contrastive learning with explainable AI techniques
98;BeGrading: large language models for enhanced feedback in programming education;No;—;—;
99;CodeLens: A Generative AI Framework for Automated Feedback on SQL Assignments;Yes;"Privacy and data protection; Consent / IRB approval; Academic integrity and misuse";Procedural;"Participation was optional and students were encouraged to participate... All collected data were handled following IRB-approved safety protocols to ensure student anonymity."" ""In our research we address this limitation by optimizing a large language model... to ensure the integrity of the learning process."
100;Evaluating GPT for use in K-12 Block Based CS Instruction Using a Transpiler and Prompt Engineering;Yes;"Privacy and data protection; Consent / IRB approval";Procedural;"""The student projects for the auto-grading study were collected... as part of an IRB-approved study... Ethically sourcing a large enough dataset of student projects, however, might pose a challenge due to privacy concerns."""
101;Evaluating LLMs for Automated Scoring in Formative Assessments;Yes;"Privacy and data protection; Consent / IRB approval";Procedural;"""The study received ethical approval from the relevant Ethics Commission. All participants provided informed consent, ensuring transparency and voluntary involvement. To protect privacy, responses were anonymized before evaluation."""
102;Evaluation of LLM Tools for Feedback Generation in a Course on Concurrent Programming;Yes;Privacy and data protection;Procedural;All the answers were anonymous, every reference to students’ identity was removed, and only the code was used as data.
103;FastFixer: An Efficient and Effective Approach for Repairing Programming Assignments;No;—;—;
104;JorGPT: Instructor-Aided Grading of Programming Assignments with Large Language Models (LLMs);Yes;"Privacy and data protection; Fairness and bias";Procedural;"""The names of the comments are removed from the source code... to ensure anonymity."" ""Nevertheless, a valid concern in this context is the potential for algorithmic bias."
105;Rubric Is All You Need: Improving LLM-Based Code Evaluation With Question-Specific Rubrics;No;—;—;
106;Using GenAI to Assess Design Patterns in Student-Written Code;Yes;"Privacy and data protection; Transparency and accountability";Mention only;"""We highlight human-in-the-loop supervision to ensure that GenAI recommendations align with educational standards and advocate for open-source cloudlets as a scalable cost-effective infrastructure... in terms of data privacy"
